Name,Team,url,IP,W,SV,K,ERA,WHIP,eIP,eW,eSV,eK,eERA,eWHIP,tIP,tW,tSV,tK,tERA,tWHIP,Total,wW,wSV,wK,wERA,wWHIP
Adam Conley,Marlins,http://www.fangraphs.com/statss.aspx?playerid=14457&position=P,25,2,0,21,6.12,1.44,79,4,0,66,4.3,1.405063291,104,6,0,87,4.737,1.413,-8.831,0.798,0,1.301,-5.652,-5.278
Gerrit Cole,Pirates,http://www.fangraphs.com/statss.aspx?playerid=13125&position=P,36,1,0,34,3.5,1.138888889,154,10,0,146,3.61,1.227272727,190,11,0,180,3.589,1.211,8.78,2.681,0,5.568,0.579,-0.048
Wade Davis,Cubs,http://www.fangraphs.com/statss.aspx?playerid=7441&position=P,12.1,2,7,15,0,0.578512397,54,4,26,70,2.47,1.092592593,66.1,6,33,85,2.018,0.998,30.937,0.798,20,1.242,5.394,3.503
Kyle Hendricks,Cubs,http://www.fangraphs.com/statss.aspx?playerid=12049&position=P,28,2,0,22,4.18,1.214285714,145,10,0,123,3.66,1.213793103,173,12,0,145,3.744,1.214,5.818,3.191,0,3.613,-0.813,-0.173
Michael Lorenzen,Reds,http://www.fangraphs.com/statss.aspx?playerid=14843&position=P,15.1,2,1,16,4.7,1.19205298,46,2,3,44,3.68,1.260869565,61.1,4,4,60,3.932,1.244,-0.407,0.355,0,0.619,-0.862,-0.519
Brandon McCarthy,Dodgers,http://www.fangraphs.com/statss.aspx?playerid=4662&position=P,29,3,0,25,3.1,1.206896552,106,7,0,90,3.91,1.273584906,135,10,0,115,3.736,1.259,2.254,2.216,0,2.273,-0.581,-1.654
Jeff Samardzija,Giants,http://www.fangraphs.com/statss.aspx?playerid=3254&position=P,39.1,0,0,46,5.03,1.150895141,170,10,0,151,3.68,1.205882353,209.1,10,0,197,3.932,1.196,6.67,2.216,0,6.67,-2.948,0.732
Drew Storen,Reds,http://www.fangraphs.com/statss.aspx?playerid=6983&position=P,14,1,1,16,1.29,0.928571429,54,3,11,53,3.66,1.222222222,68,4,12,69,3.172,1.162,13.614,0.355,10,0.818,1.625,0.816
Jose Urena,Marlins,http://www.fangraphs.com/statss.aspx?playerid=11589&position=P,14.1,0,0,8,2.51,1.418439716,57,3,0,41,4.43,1.385964912,71.1,3,0,49,4.049,1.392,-4.041,0.199,0,0.413,-1.418,-3.235
Trevor Williams,Pirates,http://www.fangraphs.com/statss.aspx?playerid=16977&position=P,11.2,1,0,10,5.4,1.696428571,76,4,0,53,4.53,1.447368421,87.2,5,0,63,4.642,1.479,-8.953,0.554,0,0.682,-4.325,-5.864
Mike Foltynewicz,Braves,http://www.fangraphs.com/statss.aspx?playerid=10811&position=P,25.2,0,0,23,2.81,1.23015873,124,6,0,118,4.28,1.35483871,149.2,6,0,141,4.032,1.334,-3.26,0.798,0,3.417,-2.85,-4.625
